operator,capacity_mw,place,municipality,province,year_realized,latitude,longitude
KS NL14 B.V.,13,OPEINDE,Smallingerland,Friesland,2024,53.12039015807744,6.050618586848526
FP Lux VB Solar Netherlands Bemmel B.V.,12.995,BEMMEL,Lingewaard,Gelderland,2020,51.91423939631652,5.899695513532317
KS NL15 B.V.,12.994,KLARENBEEK,Voorst,Gelderland,2022,52.19468355406552,6.0807065265797515
FP Lux REIO PV Netherlands Zuidplas B.V.,12.993,ZEVENHUIZEN ZH,Zuidplas,Zuid-Holland,2020,52.00963120616414,4.624930091414931
Zonnig Berkelland B.V.,12.901,GEESTEREN GLD,Berkelland,Gelderland,2021,52.12831538513109,6.545435225983684
Solar Park Echteld B.V.,12.9,ECHTELD,Neder-Betuwe,Gelderland,2024,51.91001553142562,5.482474766393073
Zonnepark Munsterjansdijk B.V.,12.86,NEEDE,Berkelland,Gelderland,2023,52.12801441113922,6.650255924550744
Zonnig Lochem B.V.,12.846,GORSSEL,Lochem,Gelderland,2022,52.14843104372681,6.261248744802849
UNL Solar 18 B.V.,12.84,URETERP,Opsterland,Friesland,2022,53.116495852740286,6.173926318674455
FP Lux VB Solar Netherlands van der Wiel B.V.,12.825,NIJ BEETS,Opsterland,Friesland,2021,53.06581537820695,6.033956516390331
Energiepark Groensebos B.V.,12.8,ECHT,Echt-Susteren,Limburg,2024,51.11305505044471,5.925391738469686
Solar park Kooypunt B.V.,12.721,DEN HELDER,Den Helder,Noord-Holland,2021,52.90728074607972,4.783599001461598
Solar EGP NL East B.V.,12.5,APELDOORN,Apeldoorn,Gelderland,2025,52.20458168670588,6.022368354416083
***,12.25,VOLKEL,Maashorst,Noord-Brabant,2018,51.649848908748275,5.670223493392781
Zonnepark Noordscheschut B.V.,12.23,HOOGEVEEN,Hoogeveen,Drenthe,2020,52.71732471594401,6.541160412507338
Zonpv Cranendonck B.V.,12.222,MAARHEEZE,Cranendonck,Noord-Brabant,2024,51.31966151424566,5.594047332848474
KS NL8 B.V.,12.147,NEEDE,Berkelland,Gelderland,2024,52.120530405936904,6.616150208682676
EAM Leeuwarden B.V.,12.13,GOUTUM,Leeuwarden,Friesland,2020,53.16657356038299,5.82346810375332
Solargaard Vianen B.V.,12.09,VIANEN NB,Land van Cuijk,Noord-Brabant,2022,51.71092964571485,5.861544264018178
Zonneparken Nazorg Limburg B.V.,12.053,LANDGRAAF,Landgraaf,Limburg,2021,50.93134417927658,6.0264649833278385
Zonneparken Someren B.V.,12.00576,SOMEREN,Someren,Noord-Brabant,2023,51.344870668905536,5.6975253419171255
Solarpark Vroenhout B.V.,12,ROOSENDAAL,Roosendaal,Noord-Brabant,2025,51.53188532897997,4.418318269384506
KS NL3 B.V.,12,LOCHEM,Lochem,Gelderland,2025,52.16977549878166,6.409607412782368
Tpsolar Vossenberg B.V.,12,LIESHOUT,Laarbeek,Noord-Brabant,2025,51.55565116547177,5.547132450138924
Zonnepark Oosterweilanden B.V.,12,VRIEZENVEEN,Twenterand,Overijssel,2019,52.41019135020469,6.640535674206521
TotalEnergies Solar DG Nederland B.V.,11.99,NIEUWDORP ZLD,Borsele,Zeeland,2018,51.450399946844655,3.7335510062856447
Zonneparken Nazorg Limburg B.V.,11.92,MAASTRICHT,Maastricht,Limburg,2020,50.8712680001245,5.676304000329555
Zon Direct Groningen B.V.,11.9,GRONINGEN,Groningen,Groningen,2023,53.19732531340423,6.6498978868238305
Twence Zon B.V.,11.9,AMBT DELDEN,Hof van Twente,Overijssel,2021,52.26415656303914,6.638347589167018
Solarvation B.V.,11.893,LELYSTAD,Lelystad,Flevoland,2020,52.523360297851035,5.577438813062091
Zonneakker de Watering B.V.,11.89,COEVORDEN,Coevorden,Drenthe,2020,52.66413779459942,6.7176176634956395
Rundedal Agro Energy B.V.,11.88222,BARGER-COMPASCUUM,Emmen,Drenthe,2019,52.73718505617352,7.031481802057469
Zonnepark Achtkarspelen B.V.,11.817,BUITENPOST,Achtkarspelen,Friesland,2019,53.25998832102032,6.152035791277026
Zonnepark Rilland B.V.,11.75,RILLAND,Reimerswaal,Zeeland,2019,51.4155440945659,4.240498700182626
Zonnepark Lungendonk B.V.,11.709,SOMEREN,Someren,Noord-Brabant,2021,51.44591358032625,5.673532131051784
Zonnepark Vuilstort Farmsum B.V.,11.698,FARMSUM,Eemsdelta,Groningen,2021,53.282604295241626,6.974758422282251
Solar Power Emmen B.V.,11.68992,EMMEN,Emmen,Drenthe,2020,52.75255878907564,6.943402429178211
BEE Stadskanaal B.V.,11.573,STADSKANAAL,Stadskanaal,Groningen,2020,53.00989990885853,6.936179969322004
Karakter Three Energie B.V.,11.56,GRUBBENVORST,Horst aan de Maas,Limburg,2023,51.421732572417405,6.103522787470518
Zonnepark PV21 B.V.,11.49,DOKKUM,Noardeast-Fryslân,Friesland,2022,53.33205146676434,5.985856357340562
***,11.461,EMMELOORD,Noordoostpolder,Flevoland,2018,52.72230435475286,5.784279287064499
Zonnepark PV6 B.V.,11.442,LEEUWARDEN,Leeuwarden,Friesland,2020,53.204097705605655,5.755884887187031
Zonnepark Lievelde B.V.,11.41,LICHTENVOORDE,Oost Gelre,Gelderland,2023,52.00207702813585,6.575659804594056
Vlowijker Zonneweide I B.V.,11.259,WERKHOVEN,Bunnik,Utrecht,2023,52.036025000449825,5.226541810804836
Zonnepark Bollendonk B.V.,11.244,ETTEN-LEUR,Etten-Leur,Noord-Brabant,2023,51.60637043652644,4.625214473908398
Zonnepark Wijkerbroek Oost B.V.,11.09001,WIJK BIJ DUURSTEDE,Wijk bij Duurstede,Utrecht,2023,51.96642308883005,5.312001372838001
Zonnepark Markiezaat B.V.,11,WOENSDRECHT,Woensdrecht,Noord-Brabant,2024,51.42010379615071,4.269724938704715
FP Lux REIO PV Netherlands Exloo B.V.,10.851,ODOORN,Borger-Odoorn,Drenthe,2022,52.88404501539331,6.88839945109137
